Sector,Topic,Metric,Category,Unit of Measure,Code,Direct Measurement,Risk Assessment,Risk Insights,Trend Analysis,Benchmarking,Regulatory Support,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Total energy consumed,Quantitative,Gigajoules,TC0102-01,,"planetarycomputer.microsoft.com-1. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (projects future temperature scenarios through 2100 to assess climate-related risks to cooling energy demands)",,"planetarycomputer.microsoft.com-1. modis-11A2-061, MODIS Land Surface Temperature/Emissivity 8-Day (provides 8-day land surface temperature measurements for monitoring thermal conditions affecting data center cooling energy requirements); 
planetarycomputer.microsoft.com-2. modis-11A1-061, MODIS Land Surface Temperature/Emissivity Daily (provides daily land surface temperature data for detailed thermal monitoring of facility locations); 
planetarycomputer.microsoft.com-3. era5-pds, ERA5 - PDS (contains hourly 2-meter air temperature and surface temperature reanalysis data for comprehensive energy consumption trend analysis); 
planetarycomputer.microsoft.com-4. daymet-monthly-na, Daymet Monthly North America (tracks monthly maximum and minimum temperature variations affecting seasonal cooling energy demands); 
planetarycomputer.microsoft.com-5. daymet-annual-na, Daymet Annual North America (provides annual temperature summaries for long-term energy consumption pattern analysis); 
planetarycomputer.microsoft.com-6. gridmet, gridMET (offers daily temperature measurements for detailed temporal analysis of cooling requirements); 
planetarycomputer.microsoft.com-7. terraclimate, TerraClimate (contains monthly temperature data since 1958 for historical energy-related climate trend analysis);
geoservice.dlr.de-1. TIMELINE_AVHRR_P1M_LSTD, TIMELINE AVHRR L3 Monthly LSTD (provides 40+ years of monthly maximum land surface temperature over Europe at 1km resolution for long-term thermal trend analysis affecting cooling energy requirements);
fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: SLSTR Sentinel-3B LST (provides land surface temperature from Sentinel-3B SLSTR sensor 2018-2020 for monitoring thermal conditions affecting cooling energy requirements)",,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Percentage grid electricity,Quantitative,Percentage (%),TC0102-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Percentage renewable energy,Quantitative,Percentage (%),TC0102-01,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Total water withdrawn,Quantitative,Cubic meters (m?),TC0102-02,,"planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (contains climate water deficit, soil moisture, actual evapotranspiration, and runoff variables for assessing regional water stress and availability risks at facility locations)","planetarycomputer.microsoft.com-1. era5-pds, ERA5 - PDS (provides hourly precipitation accumulation data for understanding regional water availability context); 
planetarycomputer.microsoft.com-2. gridmet, gridMET (offers daily precipitation and humidity measurements for detailed water resource availability analysis); 
planetarycomputer.microsoft.com-3. daymet-monthly-na, Daymet Monthly North America (tracks monthly precipitation totals affecting regional water supply); 
planetarycomputer.microsoft.com-4. prism-an81m, PRISM Climate Normals (provides 30-year precipitation normals for baseline water availability assessment);
geoservice.dlr.de-1. GWP_P1M, Global WaterPack Monthly (provides monthly open surface water cover parameters including water extent and occurrence for understanding regional water availability);
geoservice.dlr.de-2. GWP_P1Y, Global WaterPack Yearly (offers annual open surface water cover statistics for long-term water resource context); 
geoservice.dlr.de-3. SWIM_WE, Surface Water Inventory and Monitoring Water Extent (identifies open surface water bodies through automated processing for regional water resource mapping); 
geoservice.dlr.de-4. GSP_SCDE_P1Y, Global SnowPack Snow Cover Duration Early Season (tracks early season snow cover duration relevant to autumn-midwinter water storage); 
geoservice.dlr.de-5. GSP_SCDL_P1Y, Global SnowPack Snow Cover Duration Late Season (monitors late season snow cover from midwinter to end-of-season affecting spring water availability); 
geoservice.dlr.de-6. GSP_SCE_P1D, Global SnowPack Snow Cover Extent Daily (provides daily global snow cover extent for understanding water storage in snowpack);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (provides daily soil moisture data from scatterometers 1991-2019 for understanding regional water availability and storage); 
fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE Product v06.2 (offers multi-sensor soil moisture measurements 1978-2021 for long-term water content assessment)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (monitors monthly precipitation, evapotranspiration, soil moisture, and runoff trends from 1958 to present for long-term water availability analysis); 
planetarycomputer.microsoft.com-2. daymet-annual-na, Daymet Annual North America (tracks annual precipitation trends relevant to long-term water resource planning); 
planetarycomputer.microsoft.com-3. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (projects future precipitation scenarios through 2100 for long-term water resource trend forecasting); 
planetarycomputer.microsoft.com-4. gridmet, gridMET (provides continuous daily precipitation records since 1979 for temporal trend analysis);
geoservice.dlr.de-1. GWP_P1D, Global WaterPack Daily (monitors daily open surface water cover dynamics for temporal water availability trend analysis); 
geoservice.dlr.de-2. GWP_P1M, Global WaterPack Monthly (tracks monthly water extent changes for seasonal water resource trend monitoring); 
geoservice.dlr.de-3. GSP_SCD_P1Y, Global SnowPack Snow Cover Duration Annual (analyzes annual snow cover duration affecting seasonal water availability and snowmelt contributions);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (monitors 28-year soil moisture trends 1991-2019 indicating regional water availability patterns); 
fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE Product v06.2 (tracks 43-year soil moisture evolution 1978-2021 for long-term water resource trend analysis); 
fedeo.ceos.org-3. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Ground Temperature Northern Hemisphere (analyzes permafrost temperature trends 1997-2021 affecting seasonal water availability from frozen ground thaw)",,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Percentage recycled,Quantitative,Percentage (%),TC0102-02,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,Percentage in regions with High or Extremely High Baseline Water Stress,Quantitative,Percentage (%),TC0102-02,,"planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (contains climate water deficit and PDSI drought indices for identifying and quantifying high water stress regions); 
planetarycomputer.microsoft.com-2. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (projects future water stress conditions through climate scenarios for long-term facility planning)","planetarycomputer.microsoft.com-1. gridmet, gridMET (provides daily evapotranspiration, precipitation, and vapor pressure data for understanding water stress drivers and regional aridity); 
planetarycomputer.microsoft.com-2. era5-pds, ERA5 - PDS (offers comprehensive atmospheric humidity, precipitation, and temperature variables contextualizing regional water stress conditions); 
planetarycomputer.microsoft.com-3. daymet-monthly-na, Daymet Monthly North America (tracks monthly vapor pressure and precipitation providing insights into regional moisture availability);
geoservice.dlr.de-1. GWP_P1Y, Global WaterPack Yearly (provides annual surface water cover statistics indicating regions with limited water resources); 
geoservice.dlr.de-2. SWIM_WE, Surface Water Inventory and Monitoring Water Extent (maps open surface water bodies enabling identification of water-scarce regions); 
geoservice.dlr.de-3. GSP_SCD_MEAN, Global SnowPack Snow Cover Duration Mean (shows mean snow cover duration affecting regional water stress through snowmelt contribution variability);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (provides soil moisture data for identifying regions with low water content indicating potential water stress);
fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE Product v06.2 (offers global soil moisture measurements enabling identification of persistently dry regions with water stress)","planetarycomputer.microsoft.com-1. terraclimate, TerraClimate (monitors historical water balance, drought severity, and deficit trends from 1958 indicating water stress evolution); 
planetarycomputer.microsoft.com-2. daymet-annual-na, Daymet Annual North America (analyzes annual precipitation and vapor pressure trends affecting long-term water stress patterns);
geoservice.dlr.de-1. GWP_P1M, Global WaterPack Monthly (tracks monthly surface water extent changes indicating evolving water stress patterns); 
geoservice.dlr.de-2. GWP_P1D, Global WaterPack Daily (monitors daily water extent dynamics for detecting water stress intensification trends);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (tracks soil moisture trends 1991-2019 indicating evolving water stress patterns); 
fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE Product v06.2 (monitors 43-year soil moisture changes revealing long-term water stress intensification or amelioration)",,,,,,,,,,,,,,,,
Software & IT Services,Environmental Footprint of Hardware Infrastructure,"Description of the integration of environmental considerations to strategic planning for data center needs	",Discussion and Analysis,n/a,TC0102-03,,"planetarycomputer.microsoft.com-1. nasa-nex-gddp-cmip6, Earth Exchange Global Daily Downscaled Projections (NEX-GDDP-CMIP6) (provides downscaled climate projections for multiple scenarios enabling strategic data center location planning based on future climate risks); 
planetarycomputer.microsoft.com-2. terraclimate, TerraClimate (offers comprehensive water and climate risk indicators including drought indices and water balance for site selection and risk assessment)","planetarycomputer.microsoft.com-1. era5-pds, ERA5 - PDS (comprehensive hourly climate reanalysis variables for understanding complete environmental context of facility locations); 
planetarycomputer.microsoft.com-2. sentinel-2-l2a, Sentinel-2 Level-2A (monitors land surface reflectance and land use changes around data center locations at 10m resolution); 
planetarycomputer.microsoft.com-3. landsat-c2-l2, Landsat Collection 2 Level-2 (provides long-term land surface and thermal monitoring for environmental context assessment); 
planetarycomputer.microsoft.com-4. modis-11A2-061, MODIS Land Surface Temperature/Emissivity 8-Day (tracks thermal conditions at 1km resolution for cooling infrastructure planning);
geoservice.dlr.de-1. TIMELINE_AVHRR_P1M_LSTD, TIMELINE AVHRR L3 Monthly LSTD (provides 40+ years of harmonized land surface temperature for understanding long-term thermal conditions at potential data center sites); 
geoservice.dlr.de-2. WSF_2019, World Settlement Footprint 2019 (outlines 10m resolution human settlement extent for site selection and land use context); 
geoservice.dlr.de-3. WSF_Evolution, World Settlement Footprint Evolution (shows 30m resolution settlement expansion from 1985-2015 for understanding regional development patterns); 
geoservice.dlr.de-4. TDM_DEM_90, TanDEM-X Digital Elevation Model 90m (provides global elevation data for terrain and flood risk assessment in site planning);
eocat.esa.int-1. WorldView-1.full.archive.and.tasking, WorldView-1 full archive and tasking (provides sub-meter resolution optical imagery for detailed site monitoring and land use assessment around data center locations); 
eocat.esa.int-2. TerraSAR-X_TanDEM-X.full.archive.and.tasking, TerraSAR-X/TanDEM-X full archive and tasking (offers high-resolution SAR imagery 0.25m-40m for all-weather site monitoring and terrain analysis for infrastructure planning); 
eocat.esa.int-3. Geosat-2.Full.archive.and.tasking, GEOSAT-2 full archive and tasking (provides very high resolution multispectral imagery for vegetation and land surface monitoring around facilities);
fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: SLSTR Sentinel-3B LST (provides consistent land surface temperature measurements for thermal assessment of potential data center sites); 
fedeo.ceos.org-2. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: Amazon 10m LC Maps (offers 10m resolution land cover mapping for detailed site selection and land use context assessment); 
fedeo.ceos.org-3. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (provides soil moisture context for understanding regional water resources at potential sites)","planetarycomputer.microsoft.com-1. daymet-monthly-na, Daymet Monthly North America (analyzes long-term climate trends since 1980 for strategic planning); 
planetarycomputer.microsoft.com-2. gridmet, gridMET (monitors evolving daily meteorological conditions since 1979 affecting operational planning); 
planetarycomputer.microsoft.com-3. terraclimate, TerraClimate (provides 60+ years of climate and water balance trends for comprehensive historical analysis);
geoservice.dlr.de-1. GWP_P1M, Global WaterPack Monthly (monitors long-term surface water dynamics for water resource planning); 
geoservice.dlr.de-2. GSP_SCD_P1Y, Global SnowPack Snow Cover Duration Annual (analyzes snow cover trends affecting seasonal climate and water availability patterns);
fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (analyzes long-term soil moisture trends 1991-2019 for water resource planning); 
fedeo.ceos.org-2. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Ground Temperature Northern Hemisphere (tracks permafrost changes 1997-2021 relevant for infrastructure stability in northern regions)",,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,"Discussion of policies and practices relating to collection, usage, and retention of customers' information and personally identifiable information",Discussion and Analysis,n/a,TC0102-04,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Percentage of users whose customer information is collected for secondary purpose,Quantitative,,TC0102-05,,,,,,,,,,,,,,,,,,,,
Software & IT Services,Data Privacy & Freedom of Expression,Percentage who have opted-in,Quantitative,Percentage (%),TC0102-05,,,,,,,,,,,,,,,,,,,,
