"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total energy consumed","Quantitative","Gigajoules","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage grid electricity","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage renewable energy","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total water withdrawn","Quantitative","Cubic meters (m³)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage recycled","Quantitative","Percentage (%)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage in regions with High or Extremely High Baseline Water Stress","Quantitative","Percentage (%)","TC0102-02","","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover Climate Change Initiative (assesses land cover changes that may indicate water stress)","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Description of the integration of environmental considerations to strategic planning for data center needs","Discussion and Analysis","n/a","TC0102-03","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Discussion of policies and practices relating to collection, usage, and retention of customers' information and personally identifiable information","Discussion and Analysis","n/a","TC0102-04","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage of users whose customer information is collected for secondary purpose","Quantitative","Percentage (%)","TC0102-05","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage who have opted-in","Quantitative","Percentage (%)","TC0102-05","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Amount of legal and regulatory fines and settlements associated with customer privacy","Quantitative","U.S. dollars ($)","TC0102-06","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of government or law enforcement requests for customer information","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Number of records requested","Quantitative","Number","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage resulting in disclosure","Quantitative","Percentage (%)","TA03-04-01","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","List of countries where core products or services are subject to government-required monitoring, blocking, content filtering, or censoring","Discussion and Analysis","n/a","TC0102-08","","","","","",""
"Software & IT Services","Data Security","Number of data security breaches","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Percentage involving customers' personally identifiable information (PII)","Quantitative","Percentage (%)","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Number of customers affected","Quantitative","Number","TA03-06-01","","","","","",""
"Software & IT Services","Data Security","Discussion of management approach to identifying and addressing data security risks","Discussion and Analysis","n/a","TC0102-10","","","","","",""
"Software & IT Services","Data Security","Percentage of operations, by revenue, independently certified to a suitable third-party cybersecurity management standard","Quantitative","Percentage (%)","TA03-05-01","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees that are foreign nationals","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of employees located offshore","Quantitative","Percentage (%)","TC0102-11","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Employee engagement as a percentage","Quantitative","Percentage (%)","TC0102-12","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for executives","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Recruiting & Managing a Global, Diverse Skilled Workforce","Percentage of gender and racial/ethnic group representation for all others","Quantitative","Percentage (%)","TC0102-13","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of performance issues","Quantitative","Number","TC0102-14","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Number of service disruptions","Quantitative","Number","TC0102-14","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Total customer downtime","Quantitative","Days","TC0102-14","","","","","",""
"Software & IT Services","Managing Systemic Risks from Technology Disruptions","Discussion of business continuity risks related to disruptions of operations","Discussion and Analysis","n/a","TC0102-15","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number of patent litigation cases","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number successful","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Number as patent holder","Quantitative","Number","TC0102-16","","","","","",""
"Software & IT Services","Intellectual Property Protection & Competitive Behavior","Amount of legal and regulatory fines and settlements associated with anti-competitive practices","Quantitative","U.S. dollars ($)","TC0102-17","","","","","",""
