"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total energy consumed","Quantitative","Gigajoules","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage grid electricity","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage renewable energy","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total water withdrawn","Quantitative","Cubic meters (m³)","TC0102-02","","fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): ACTIVE Product, Version 05.2 (provides global daily surface soil moisture in percent of saturation, which can be used to identify areas where soil is persistently dry or wet around facilities, informing potential groundwater and surface water availability constraints but not actual withdrawal volumes); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (offers long-term global daily volumetric soil moisture [m³/m³], supporting assessment of hydrological conditions and potential water scarcity risks at data center locations)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (high-resolution land cover classes help characterize surrounding environment—urban, forest, agriculture—around facilities, which influences local water demand and recharge but does not quantify withdrawal); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (ocean salinity patterns provide context on large-scale hydrological cycle and freshwater input to coastal regions where facilities may be located)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (1978–2021 daily soil moisture time series enables long-term trend analysis of drying/wetting conditions that may affect sustainable water sourcing for operations); fedeo.ceos.org-2. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): ACTIVE Product, Version 05.2 (1991–2019 daily soil moisture supports multi-decadal monitoring of surface moisture variability relevant to evolving water availability risks)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage recycled","Quantitative","Percentage (%)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage in regions with High or Extremely High Baseline Water Stress","Quantitative","Percentage (%)","TC0102-02","","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (long-term global soil moisture climatology can be spatially intersected with facility locations to flag areas with chronically low soil moisture indicative of potential high water stress, though it is not a formal water stress index); fedeo.ceos.org-2. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): ACTIVE Product, Version 05.2 (daily global surface soil moisture in percent saturation helps identify regions with persistently low saturation that may correspond to higher baseline water stress)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (land cover classes such as irrigated agriculture, forest, or urban areas provide contextual insight into competing water uses and potential stress near facilities); fedeo.ceos.org-2. eacb7580e1b54afeaabb0fd2b0a53828, ESA Sea Surface Salinity CCI: Weekly sea surface salinity product, v2.31 (regional salinity anomalies can reflect freshwater inflows and large-scale hydrological balance near coastal regions, offering context for baseline water conditions)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (multi-decade daily soil moisture record supports trend analysis of drying patterns, informing whether facilities are moving into increasingly water-stressed regions over time)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Description of the integration of environmental considerations to strategic planning for data center needs","Discussion and Analysis","n/a","TC0102-03","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI (LST_cci): Land Surface Temperature from SLSTR on Sentinel 3B, L3C global product (2018-2020), v3.00 (provides global daily land surface temperature, enabling assessment of cooling demand risks and siting strategies for data centers in hotter regions); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (helps identify locations with chronic dryness or wetness that may affect water-intensive cooling strategies and infrastructure resilience)","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m spatial resolution for 2019, v1.2 (high-resolution land cover around potential or existing data center sites informs environmental integration in planning, such as avoiding deforestation hotspots or sensitive ecosystems); fedeo.ceos.org-2. e3dbdc32f7b6476e949d52d8d3990205, ESA Greenland Ice Sheet CCI: Ice Velocity time series for the Zachariae Glacier (2015-2017), v1.1 (illustrates cryosphere dynamics and potential long-term sea-level rise context, which can inform strategic planning for coastal data center locations)","fedeo.ceos.org-1. 5675b0be944f45a8af0e7ddbeb47a011, ESA Permafrost CCI: Permafrost Ground Temperature for the Northern Hemisphere, v5.0 (1997–2023 annual ground temperature at multiple depths supports long-term monitoring of permafrost thaw trends affecting infrastructure stability in high-latitude locations); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture Climate Change Initiative (Soil_Moisture_cci): PASSIVE product, Version 06.2 (1978–2021 soil moisture trends inform evolving drought and flood regimes relevant to long-term data center siting and design)","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Discussion of policies and practices relating to collection, usage, and retention of customers' information and personally identifiable information","Discussion and Analysis","n/a","TC0102-04","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage of users whose customer information is collected for secondary purpose","Quantitative","Percentage (%)","TC0102-05","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage who have opted-in","Quantitative","Percentage (%)","TC0102-05","","","","","",""
