"Sector","Topic","Metric","Category","Unit of Measure","Code","Direct Measurement","Risk Assessment","Risk Insights","Trend Analysis","Benchmarking","Regulatory Support"
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total energy consumed","Quantitative","Gigajoules","TC0102-01","","","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (land surface temperature helps characterize local climate and cooling load context around data centers, informing interpretation of operational energy consumption but not measuring GJ directly)","fedeo.ceos.org-1. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (2018–2020 daily LST time series can be used to analyze temporal patterns in ambient thermal conditions that drive cooling energy demand trends at facility locations)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage grid electricity","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage renewable energy","Quantitative","Percentage (%)","TC0102-01","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Total water withdrawn","Quantitative","Cubic meters (m³)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage recycled","Quantitative","Percentage (%)","TC0102-02","","","","","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Percentage in regions with High or Extremely High Baseline Water Stress","Quantitative","Percentage (%)","TC0102-02","","","fedeo.ceos.org-1. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (global daily surface soil moisture in % saturation provides contextual information on land surface wetness around facilities, helping interpret exposure to drier or wetter conditions but not a formal water stress index); fedeo.ceos.org-2. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (global daily volumetric soil moisture [m³/m³] offers long-term context on hydrological conditions near sites, informing qualitative understanding of baseline water availability)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (1978–2021 global daily soil moisture time series enables analysis of long-term drying/wetting trends in regions hosting data centers, supporting temporal assessment of evolving baseline water stress); fedeo.ceos.org-2. dd3da2570363429791b51120bdd29c02, ESA Soil Moisture CCI: ACTIVE Product v05.2 (1991–2019 global daily soil moisture in % saturation supports multi-decadal trend analysis of surface moisture conditions relevant to changing water stress near facilities)","",""
"Software & IT Services","Environmental Footprint of Hardware Infrastructure","Description of the integration of environmental considerations to strategic planning for data center needs","Discussion and Analysis","n/a","TC0102-03","","","fedeo.ceos.org-1. 0bc7042123984c69aa45cb6788bfdaa0, ESA High Resolution Land Cover CCI: High Resolution Land Cover Maps in Amazonia at 10m (detailed 10 m land cover classification helps assess siting options, surrounding ecosystems, and potential land-use impacts when planning new data centers); fedeo.ceos.org-2. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (daily global LST provides environmental context on thermal regimes influencing cooling strategies and technology choices in long-term data center planning); fedeo.ceos.org-3. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (multi-decadal soil moisture climatology informs understanding of hydrological regimes and drought-prone areas, supporting environmentally informed site selection and resilience planning)","fedeo.ceos.org-1. 4dd145a7060143cd875325390d3b01c8, ESA Soil Moisture CCI: PASSIVE product v06.2 (1978–2021 daily soil moisture trends can be used in strategic planning to anticipate long-term shifts in hydrological conditions affecting cooling water availability and landscaping); fedeo.ceos.org-2. 5f66a881adf846bfaad58b0e6068f0ea, ESA Land Surface Temperature CCI: LST from SLSTR on Sentinel 3B (2018–2020 daily LST trends highlight emerging heat hotspots or urban heat island intensification relevant to future data center cooling design)","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Discussion of policies and practices relating to collection, usage, and retention of customers' information and personally identifiable information","Discussion and Analysis","n/a","TC0102-04","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage of users whose customer information is collected for secondary purpose","Quantitative","Percentage (%)","TC0102-05","","","","","",""
"Software & IT Services","Data Privacy & Freedom of Expression","Percentage who have opted-in","Quantitative","Percentage (%)","TC0102-05","","","","","",""
